lead_no,lead_name,category,public_reference,why_relevant,priority,offer_tier,contact_status,next_action
017,KAF / Kamitsubaki,virtual_singer,https://kaf.kamitsubaki.jp/,high-level virtual singer/music IP benchmark,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only
018,RIM / Kamitsubaki,virtual_singer,https://kamitsubaki.jp/artist/rim/,virtual singer with strong visual/music identity; benchmark for positioning,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only
019,Naevis / SM Entertainment,virtual_idol_company,https://www.smtown.com/,enterprise virtual idol reference; not micro-offer target,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only
020,Miquela,virtual_influencer_singer,https://www.instagram.com/lilmiquela/,virtual influencer/singer; benchmark for digital artist positioning,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only
021,Supertone,AI_audio_company,https://www.supertone.ai/,AI voice/music tech company; useful industry reference not first buyer,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark only
022,mikeeysmind,AI_cover_creator,https://www.instagram.com/mikeeysmind/,AI Afro Soul cover creator cited in viral Papaoutai AI cover discussions,MEDIUM,9_USD_SIGNAL_TAG,NOT_CONTACTED,Verify active contact and rights-safe angle
023,Chill77,AI_cover_creator,https://open.spotify.com/artist/CHUA_XAC_NHAN,credited around Papaoutai Afro Soul cover; exact contact not confirmed,LOW,9_USD_SIGNAL_TAG,NOT_CONTACTED,Verify profile/contact before any outreach
024,Arsene Mukendi,performer_creator,https://www.instagram.com/arsenemukendi/,performer involved in viral AI Papaoutai social spread; relevant to AI music content,LOW,9_USD_SIGNAL_TAG,NOT_CONTACTED,Verify contact; avoid rights/cover claims
025,B3N&J8CUB,AI_music_video_creator,https://www.instagram.com/b3nj8cub/,AI music video creator/project mentioned in AI music video context,MEDIUM,19_USD_SHORT_HOOK_STARTER,NOT_CONTACTED,Verify active contact
026,FCG Studio,AI_video_studio,https://fcg.studio/,AI/video production studio reference; possible peer/benchmark,LOW,29_USD_CREATOR_SIGNAL_MINI_PACK,NOT_CONTACTED,Benchmark or partnership research only
027,Runway community creators,AI_video_creator_pool,https://runwayml.com/showcase/,AI video creator pool; source for finding smaller creators,MEDIUM,9_USD_SIGNAL_TAG,NOT_CONTACTED,Use showcase to identify individual smaller creators
028,Kaiber community creators,AI_music_video_creator_pool,https://kaiber.ai/,AI music video creator pool; source for smaller creator discovery,MEDIUM,9_USD_SIGNAL_TAG,NOT_CONTACTED,Search community/showcase for individual leads
029,itch.io Cyberpunk tag creators,indie_game_creator_pool,https://itch.io/games/tag-cyberpunk,pool to find small cyberpunk game devs,HIGH,9_USD_SIGNAL_TAG,NOT_CONTACTED,Pick individual active devs from current tag list
030,itch.io Horror tag creators,indie_horror_creator_pool,https://itch.io/games/tag-horror,pool to find small horror devs,HIGH,9_USD_SIGNAL_TAG,NOT_CONTACTED,Pick individual active devs from current tag list
